Date,Open,High,Low,Close,Adj Close,Volume
2020-06-29,273.380005,275.690002,263.510010,272.940002,272.940002,1289700
2020-06-30,274.989990,280.149994,271.454987,277.040009,277.040009,1306000
2020-07-01,277.630005,289.251007,275.209991,287.790009,287.790009,1511500
2020-07-02,290.209991,294.540009,288.059998,290.790009,290.790009,1152800
2020-07-06,295.970001,297.000000,285.798004,287.040009,287.040009,1460000
2020-07-07,288.320007,293.989990,284.170013,290.380005,290.380005,1217000
2020-07-08,295.470001,305.000000,291.410004,304.869995,304.869995,1707900
2020-07-09,307.739990,312.929993,298.519989,312.220001,312.220001,2171000
2020-07-10,312.000000,314.089996,305.000000,308.279999,308.279999,1137900
2020-07-13,311.880005,312.000000,280.070007,283.010010,283.010010,1841200
2020-07-14,283.000000,297.899994,276.609985,297.790009,297.790009,2477200
2020-07-15,296.970001,298.970001,289.959991,297.179993,297.179993,2212900
2020-07-16,294.429993,297.630005,286.070007,296.950012,296.950012,1965200
2020-07-17,300.119995,304.570007,295.890015,303.640015,303.640015,1909100
2020-07-20,303.480011,317.929993,302.850006,316.059998,316.059998,1286300
2020-07-21,316.000000,317.709991,301.029999,309.489990,309.489990,2205600
2020-07-22,311.100006,315.149994,306.233002,313.429993,313.429993,1217400
2020-07-23,313.190002,317.524994,293.390015,296.350006,296.350006,1417000
2020-07-24,290.429993,295.977997,284.209991,292.109985,292.109985,907800
2020-07-27,295.799988,295.799988,284.230011,292.850006,292.850006,1325100
2020-07-28,292.799988,301.339996,289.730011,294.380005,294.380005,748800
2020-07-29,296.500000,303.700012,295.239990,300.070007,300.070007,987000
2020-07-30,296.690002,305.769989,292.915009,302.929993,302.929993,631600
2020-07-31,305.769989,307.220001,296.968994,306.450012,306.450012,728500
2020-08-03,308.950012,315.880005,306.750000,312.850006,312.850006,935400
2020-08-04,311.779999,315.809998,308.899994,313.320007,313.320007,445900
2020-08-05,311.100006,317.880005,309.510010,315.940002,315.940002,525200
2020-08-06,317.670013,319.549988,306.220001,312.250000,312.250000,719600
2020-08-07,303.445007,305.125000,284.260010,289.309998,289.309998,1497900
2020-08-10,290.649994,290.869995,278.839996,285.179993,285.179993,1287500
2020-08-11,280.929993,289.997986,277.000000,281.559998,281.559998,1074700
2020-08-12,280.730011,287.399994,279.059998,281.369995,281.369995,673900
2020-08-13,285.309998,295.410004,283.500000,289.730011,289.730011,878100
2020-08-14,292.149994,293.250000,282.894989,285.890015,285.890015,347500
2020-08-17,289.660004,296.589996,287.540009,294.089996,294.089996,926400
2020-08-18,297.489990,302.079987,296.709991,300.429993,300.429993,690400
2020-08-19,300.429993,304.785004,292.760010,298.519989,298.519989,511700
2020-08-20,298.209991,308.450012,296.700012,305.859985,305.859985,720800
2020-08-21,306.000000,306.600006,298.184998,301.010010,301.010010,602000
2020-08-24,305.850006,308.209991,291.000000,297.380005,297.380005,743300
2020-08-25,294.390015,303.519989,292.549988,301.630005,301.630005,672700
2020-08-26,306.230011,337.494995,306.160004,331.829987,331.829987,1720100
2020-08-27,329.299988,330.509003,321.399994,324.739990,324.739990,640500
2020-08-28,329.140015,335.359985,325.074005,325.970001,325.970001,735400
2020-08-31,330.220001,332.000000,319.040009,327.739990,327.739990,1020700
2020-09-01,341.250000,353.459991,339.079987,344.420013,344.420013,1398400
2020-09-02,351.500000,353.549988,327.829987,327.959991,327.959991,1847900
2020-09-03,317.399994,318.010010,296.149994,308.230011,308.230011,2066800
2020-09-04,303.000000,307.890015,270.690002,285.809998,285.809998,2210700
2020-09-08,271.700012,282.000000,268.059998,276.700012,276.700012,1898700
2020-09-09,270.220001,273.904999,252.350006,260.480011,260.480011,5148400
2020-09-10,266.000000,267.350006,251.119995,254.050003,254.050003,1985200
2020-09-11,257.160004,258.480011,239.710007,243.240005,243.240005,1925400
2020-09-14,246.289993,249.360001,243.300003,248.429993,248.429993,1534200
2020-09-15,251.169998,254.190002,246.899994,252.279999,252.279999,1332700
2020-09-16,253.050003,254.949997,244.119995,250.160004,250.160004,1514400
2020-09-17,240.000000,247.149994,237.970001,244.830002,244.830002,1707200
2020-09-18,247.820007,250.455002,242.600006,248.190002,248.190002,3019300
2020-09-21,248.350006,265.670013,244.529999,265.279999,265.279999,2327400
2020-09-22,265.839996,269.720001,256.269989,268.239990,268.239990,1612400
2020-09-23,265.799988,275.019989,263.019989,266.109985,266.109985,1468300
2020-09-24,263.029999,268.638000,258.230011,264.470001,264.470001,838700
2020-09-25,264.070007,275.500000,261.000000,272.929993,272.929993,809700
