Date,Open,High,Low,Close,Adj Close,Volume
2020-06-29,3.320000,3.350000,3.240000,3.260000,3.260000,766600
2020-06-30,3.510000,4.250000,3.360000,4.140000,4.140000,9352500
2020-07-01,4.400000,4.440000,3.800000,4.020000,4.020000,4427300
2020-07-02,4.170000,4.250000,3.970000,4.160000,4.160000,1630700
2020-07-06,4.360000,4.400000,3.970000,4.050000,4.050000,2826100
2020-07-07,4.000000,4.070000,3.820000,3.820000,3.820000,1497500
2020-07-08,3.880000,3.920000,3.740000,3.800000,3.800000,1799200
2020-07-09,3.850000,3.980000,3.700000,3.950000,3.950000,1560300
2020-07-10,3.950000,3.980000,3.810000,3.880000,3.880000,1405600
2020-07-13,4.010000,4.160000,3.730000,3.760000,3.760000,1885100
2020-07-14,3.750000,3.830000,3.580000,3.770000,3.770000,1047700
2020-07-15,3.780000,3.980000,3.760000,3.920000,3.920000,1636000
2020-07-16,3.850000,3.880000,3.760000,3.810000,3.810000,807200
2020-07-17,3.890000,3.920000,3.800000,3.860000,3.860000,893100
2020-07-20,3.860000,3.900000,3.810000,3.860000,3.860000,521000
2020-07-21,3.880000,4.120000,3.880000,4.090000,4.090000,1902200
2020-07-22,4.100000,4.170000,3.940000,3.980000,3.980000,1065600
2020-07-23,3.960000,3.980000,3.770000,3.790000,3.790000,1175900
2020-07-24,3.750000,3.800000,3.640000,3.760000,3.760000,686500
2020-07-27,3.840000,3.900000,3.730000,3.840000,3.840000,607200
2020-07-28,3.820000,3.840000,3.720000,3.730000,3.730000,438800
2020-07-29,3.770000,3.960000,3.750000,3.940000,3.940000,809900
2020-07-30,3.900000,4.020000,3.820000,3.960000,3.960000,1148700
2020-07-31,3.880000,3.900000,3.790000,3.880000,3.880000,896500
2020-08-03,3.810000,4.130000,3.790000,4.070000,4.070000,2039600
2020-08-04,4.100000,4.370000,4.100000,4.370000,4.370000,2637700
2020-08-05,4.320000,4.350000,4.080000,4.250000,4.250000,1782000
2020-08-06,4.380000,4.400000,3.920000,4.040000,4.040000,2306300
2020-08-07,3.980000,4.110000,3.970000,4.030000,4.030000,695200
2020-08-10,4.070000,4.110000,3.860000,3.890000,3.890000,1356900
2020-08-11,3.940000,4.030000,3.860000,3.900000,3.900000,1203300
2020-08-12,3.900000,3.960000,3.880000,3.920000,3.920000,781600
2020-08-13,3.940000,4.060000,3.910000,4.010000,4.010000,1049100
2020-08-14,4.000000,4.020000,3.910000,3.960000,3.960000,557400
2020-08-17,3.930000,4.030000,3.930000,3.970000,3.970000,579500
2020-08-18,3.960000,4.080000,3.940000,4.050000,4.050000,970400
2020-08-19,4.050000,4.050000,3.910000,3.910000,3.910000,960800
2020-08-20,3.890000,3.940000,3.810000,3.900000,3.900000,725700
2020-08-21,3.930000,3.930000,3.810000,3.810000,3.810000,591600
2020-08-24,3.850000,3.910000,3.830000,3.860000,3.860000,511800
2020-08-25,3.900000,3.910000,3.810000,3.910000,3.910000,497900
2020-08-26,3.950000,3.950000,3.830000,3.850000,3.850000,373100
2020-08-27,3.850000,3.860000,3.690000,3.700000,3.700000,1037000
2020-08-28,3.730000,3.830000,3.690000,3.800000,3.800000,652300
2020-08-31,3.820000,3.820000,3.740000,3.760000,3.760000,571400
2020-09-01,3.760000,3.820000,3.720000,3.810000,3.810000,507500
2020-09-02,3.810000,3.840000,3.730000,3.750000,3.750000,436900
2020-09-03,3.750000,3.790000,3.410000,3.450000,3.450000,1432700
2020-09-04,3.460000,3.550000,3.370000,3.500000,3.500000,895500
2020-09-08,3.430000,3.560000,3.390000,3.390000,3.390000,605500
2020-09-09,3.450000,3.470000,3.380000,3.410000,3.410000,466900
2020-09-10,3.450000,3.510000,3.400000,3.450000,3.450000,686500
2020-09-11,3.440000,3.480000,3.370000,3.400000,3.400000,321100
2020-09-14,3.460000,3.620000,3.410000,3.620000,3.620000,761800
2020-09-15,3.650000,3.850000,3.610000,3.850000,3.850000,1422100
2020-09-16,3.880000,3.900000,3.750000,3.790000,3.790000,866000
2020-09-17,3.740000,3.740000,3.630000,3.700000,3.700000,528400
2020-09-18,3.710000,3.720000,3.480000,3.550000,3.550000,984600
2020-09-21,3.520000,3.540000,3.430000,3.510000,3.510000,393100
2020-09-22,3.550000,3.550000,3.400000,3.400000,3.400000,712400
2020-09-23,3.430000,3.470000,3.360000,3.360000,3.360000,362100
2020-09-24,3.350000,3.430000,3.290000,3.380000,3.380000,440700
2020-09-25,3.380000,3.380000,3.280000,3.350000,3.350000,498800
